CarrierReference,ConnectDateTime,Duration,SourceNumber,DestinationNumber,Direction
55683885962,10/02/2023 8:14,132,64852051663,61288555348,INBOUND
55683885968,10/02/2023 8:15,71,61385928843,61749321367,OUTBOUND
55683885978,10/02/2023 8:16,80,61385928841,61734898412,OUTBOUND
55683885982,10/02/2023 8:19,72,61899226710,61432429400,OUTBOUND
55683885985,10/02/2023 8:23,74,61385928840,61472961376,OUTBOUND
55683885995,10/02/2023 8:26,110,61288555346,61352427421,OUTBOUND
55683886000,10/02/2023 8:28,56,61385928843,61371985239,OUTBOUND
55683886005,10/02/2023 8:29,133,61288555349,64767816824,OUTBOUND
55683886011,10/02/2023 8:30,188,61899226709,64463087187,OUTBOUND
55683886013,10/02/2023 8:33,131,61385928844,61752777043,OUTBOUND
55683886015,10/02/2023 8:38,199,64691835486,61288555350,INBOUND
55683886024,10/02/2023 8:41,116,61308180786,61899226710,INBOUND
55683886026,10/02/2023 8:42,62,64444747865,61385928841,INBOUND
55683886031,10/02/2023 8:46,83,61395554323,64535979360,OUTBOUND
55683886033,10/02/2023 8:46,154,61352427421,61899226707,INBOUND
55683886039,10/02/2023 8:47,30,61385928841,64436536046,OUTBOUND
55683886048,10/02/2023 8:47,42,61385928843,61306589123,OUTBOUND
55683886057,10/02/2023 8:52,186,61395554322,61834551359,OUTBOUND
55683886061,10/02/2023 8:54,160,64773554393,61395554321,INBOUND
55683886070,10/02/2023 8:55,9,61385928841,61473674041,OUTBOUND
55683886072,10/02/2023 8:57,181,64629183936,61395554320,INBOUND
55683886078,10/02/2023 9:00,195,61395554322,61369584967,OUTBOUND
55683886085,10/02/2023 9:04,145,61385928841,61724178388,OUTBOUND
55683886091,10/02/2023 9:06,181,61385928840,64370732102,OUTBOUND
55683886099,10/02/2023 9:08,209,61385928840,61723194848,OUTBOUND
55683886106,10/02/2023 9:11,22,61288555346,61803567779,OUTBOUND
55683886113,10/02/2023 9:13,99,61385928841,61877238637,OUTBOUND
55683886119,10/02/2023 9:16,78,61288555348,61450237674,OUTBOUND
55683886129,10/02/2023 9:19,81,61395554324,61390945659,OUTBOUND
55683886131,10/02/2023 9:19,93,61472441534,61385928841,INBOUND
55683886136,10/02/2023 9:23,44,61385928844,64754226534,OUTBOUND
55683886141,10/02/2023 9:24,26,61472961376,61385928843,INBOUND
55683886151,10/02/2023 9:28,99,61385928840,64719838623,OUTBOUND
55683886153,10/02/2023 9:29,123,61395554322,61837003397,OUTBOUND
55683886161,10/02/2023 9:33,38,61745977757,61385928842,INBOUND
55683886170,10/02/2023 9:37,140,61385928843,61279279780,OUTBOUND
55683886174,10/02/2023 9:40,3,61899226706,64693458506,OUTBOUND
55683886180,10/02/2023 9:41,38,61857834208,61899226709,INBOUND
55683886187,10/02/2023 9:42,154,64591986758,61385928842,INBOUND
55683886197,10/02/2023 9:45,113,61395554321,64356962375,OUTBOUND
55683886207,10/02/2023 9:49,102,61899226708,61363296200,OUTBOUND
55683886213,10/02/2023 9:53,155,61395554323,61270330231,OUTBOUND
55683886215,10/02/2023 9:55,204,61395554321,61428824625,OUTBOUND
55683886223,10/02/2023 9:58,10,61422410152,61288555347,INBOUND
55683886228,10/02/2023 10:02,207,61899226708,61378948481,OUTBOUND
55683886232,10/02/2023 10:02,151,61288555348,64454605523,OUTBOUND
55683886236,10/02/2023 10:06,78,61899226709,61342131036,OUTBOUND
55683886242,10/02/2023 10:11,186,61395554324,61482634289,OUTBOUND
55683886249,10/02/2023 10:12,132,61395554322,64812494785,OUTBOUND
55683886258,10/02/2023 10:16,31,61288555350,61273637874,OUTBOUND
55683886260,10/02/2023 10:20,166,61899226709,61749042523,OUTBOUND
55683886267,10/02/2023 10:23,142,61899226710,61765556118,OUTBOUND
55683886275,10/02/2023 10:27,181,61899226709,61807199665,OUTBOUND
55683886283,10/02/2023 10:30,26,61752777043,61385928844,INBOUND
55683886290,10/02/2023 10:30,116,61385928841,61482634289,OUTBOUND
55683886294,10/02/2023 10:34,140,61288555346,61294596750,OUTBOUND
55683886303,10/02/2023 10:39,131,61288555349,61865712772,OUTBOUND
55683886311,10/02/2023 10:39,55,61288555348,64715008850,OUTBOUND
55683886321,10/02/2023 10:42,122,61385928843,61807199665,OUTBOUND
55683886325,10/02/2023 10:46,160,61395554322,61432429400,OUTBOUND
55683886327,10/02/2023 10:51,72,64701648169,61385928842,INBOUND
55683886336,10/02/2023 10:51,202,61385928840,61762503839,OUTBOUND
55683886339,10/02/2023 10:52,23,61395554321,64699899611,OUTBOUND
55683886348,10/02/2023 10:54,165,61870723514,61395554322,INBOUND
55683886353,10/02/2023 10:57,28,61288555350,64420885360,OUTBOUND
55683886361,10/02/2023 11:00,19,61899226708,61270330231,OUTBOUND
55683886370,10/02/2023 11:01,16,61385928844,61323632140,OUTBOUND
55683886379,10/02/2023 11:05,22,61899226707,64701633655,OUTBOUND
55683886385,10/02/2023 11:07,135,61288555350,61425700951,OUTBOUND
55683886388,10/02/2023 11:10,158,61899226706,61472441534,OUTBOUND
55683886392,10/02/2023 11:12,185,61395554323,61848985273,OUTBOUND
55683886395,10/02/2023 11:13,174,61395554324,61472441534,OUTBOUND
55683886401,10/02/2023 11:16,41,61288555346,61353298494,OUTBOUND
55683886408,10/02/2023 11:21,73,61395554324,61770554806,OUTBOUND
55683886411,10/02/2023 11:23,130,61385928842,61829772228,OUTBOUND
55683886416,10/02/2023 11:27,129,61395554323,61734898412,OUTBOUND
55683886418,10/02/2023 11:29,68,64321810593,61385928840,INBOUND
55683886422,10/02/2023 11:30,106,61395554320,64849704864,OUTBOUND
55683886426,10/02/2023 11:33,46,61744629801,61899226710,INBOUND
55683886432,10/02/2023 11:34,21,61395554322,61260677315,OUTBOUND
55683886438,10/02/2023 11:34,189,61288555348,61773944138,OUTBOUND
55683886440,10/02/2023 11:39,203,61899226708,64615704231,OUTBOUND
55683886444,10/02/2023 11:41,25,61395554320,61755584283,OUTBOUND
55683886447,10/02/2023 11:43,71,61385928842,64463087187,OUTBOUND
55683886454,10/02/2023 11:47,161,61288555350,61435778472,OUTBOUND
55683886459,10/02/2023 11:48,69,61385928841,64701109505,OUTBOUND
55683886469,10/02/2023 11:53,14,61899226707,64511336980,OUTBOUND
55683886476,10/02/2023 11:57,172,61749522658,61395554324,INBOUND
55683886479,10/02/2023 12:01,132,61385928844,61749042523,OUTBOUND
55683886486,10/02/2023 12:04,98,61395554322,64545477777,OUTBOUND
55683886496,10/02/2023 12:08,183,61288555349,61742501480,OUTBOUND
55683886503,10/02/2023 12:11,172,61395554322,61755584283,OUTBOUND
55683886505,10/02/2023 12:16,149,64318910380,61385928843,INBOUND
55683886512,10/02/2023 12:17,114,61288555347,61241628792,OUTBOUND
55683886522,10/02/2023 12:22,47,61288555350,61362328796,OUTBOUND
55683886524,10/02/2023 12:22,149,61288555350,61843310116,OUTBOUND
55683886526,10/02/2023 12:26,71,61715444207,61899226709,INBOUND
55683886536,10/02/2023 12:29,99,61288555347,61734898412,OUTBOUND
55683886543,10/02/2023 12:31,98,61385928841,61234343241,OUTBOUND
55683886551,10/02/2023 12:35,54,61385928842,64812494785,OUTBOUND
55683886555,10/02/2023 12:38,8,64701648169,61395554322,INBOUND
55683886558,10/02/2023 12:38,209,61899226708,61433846479,OUTBOUND
55683886564,10/02/2023 12:40,63,61395554324,61306589123,OUTBOUND
55683886572,10/02/2023 12:43,49,64535979360,61899226710,INBOUND
55683886576,10/02/2023 12:45,122,61395554320,64444885231,OUTBOUND
55683886581,10/02/2023 12:46,51,61288555350,61722488775,OUTBOUND
55683886584,10/02/2023 12:48,167,61395554320,64463087187,OUTBOUND
55683886587,10/02/2023 12:51,166,64746101095,61899226709,INBOUND
55683886589,10/02/2023 12:53,29,61395554324,64615704231,OUTBOUND
55683886599,10/02/2023 12:57,49,64688061616,61385928844,INBOUND
55683886604,10/02/2023 12:59,126,61899226709,61766549340,OUTBOUND
55683886607,10/02/2023 13:03,119,61288555346,64565733479,OUTBOUND
55683886612,10/02/2023 13:06,173,61385928841,61829772228,OUTBOUND
55683886617,10/02/2023 13:11,98,61288555348,61865712772,OUTBOUND
55683886620,10/02/2023 13:13,61,61385928840,61308180786,OUTBOUND
55683886624,10/02/2023 13:14,100,61288555349,61865712772,OUTBOUND
55683886629,10/02/2023 13:18,115,61899226708,61870403473,OUTBOUND
55683886638,10/02/2023 13:23,51,61395554320,61853095527,OUTBOUND
55683886647,10/02/2023 13:27,203,61899226706,61848985273,OUTBOUND
55683886649,10/02/2023 13:32,57,61848985273,61395554321,INBOUND
55683886655,10/02/2023 13:35,35,61395554320,61236669874,OUTBOUND
55683886660,10/02/2023 13:37,28,61899226707,61850519538,OUTBOUND
55683886668,10/02/2023 13:42,85,61288555350,61435735429,OUTBOUND
55683886676,10/02/2023 13:42,112,61385928844,61802859914,OUTBOUND
55683886684,10/02/2023 13:45,203,61385928842,64420885360,OUTBOUND
55683886686,10/02/2023 13:47,73,61395554323,61727920404,OUTBOUND
55683886696,10/02/2023 13:48,55,61395554323,61306589123,OUTBOUND
55683886704,10/02/2023 13:48,98,61395554324,64471408091,OUTBOUND
55683886709,10/02/2023 13:48,18,61395554322,61446010036,OUTBOUND
55683886713,10/02/2023 13:51,21,61785344524,61899226707,INBOUND
55683886717,10/02/2023 13:54,194,61395554324,61447382874,OUTBOUND
55683886727,10/02/2023 13:59,180,61385928842,61314051005,OUTBOUND
55683886735,10/02/2023 14:01,112,61288555346,64782654038,OUTBOUND
55683886737,10/02/2023 14:03,118,61288555350,61362328796,OUTBOUND
55683886746,10/02/2023 14:04,180,61899226706,61801855142,OUTBOUND
55683886748,10/02/2023 14:05,157,61288555349,61271201345,OUTBOUND
55683886754,10/02/2023 14:06,124,61395554320,61473674041,OUTBOUND
55683886763,10/02/2023 14:07,136,61899226706,61801855142,OUTBOUND
55683886772,10/02/2023 14:12,29,61899226708,61716307395,OUTBOUND
55683886782,10/02/2023 14:14,46,61899226707,61294275962,OUTBOUND
55683886784,10/02/2023 14:18,80,61288555346,61749321367,OUTBOUND
55683886787,10/02/2023 14:23,181,61389538641,61288555349,INBOUND
55683886797,10/02/2023 14:25,84,61395554322,61727920404,OUTBOUND
55683886801,10/02/2023 14:29,174,61899226706,64321810593,OUTBOUND
55683886810,10/02/2023 14:34,171,61385928842,61795557077,OUTBOUND
55683886819,10/02/2023 14:38,199,61288555346,61367360380,OUTBOUND
55683886823,10/02/2023 14:40,112,61385928844,61844966412,OUTBOUND
55683886825,10/02/2023 14:41,127,61288555347,61246497482,OUTBOUND
55683886827,10/02/2023 14:45,12,61385928843,61829356986,OUTBOUND
55683886836,10/02/2023 14:46,77,61395554324,61805828393,OUTBOUND
55683886844,10/02/2023 14:48,152,61395554320,64508787348,OUTBOUND
55683886846,10/02/2023 14:50,64,61715444207,61899226706,INBOUND
55683886852,10/02/2023 14:51,153,61819333911,61385928840,INBOUND
55683886859,10/02/2023 14:56,173,61288555349,64736760776,OUTBOUND
55683886866,10/02/2023 15:00,153,61899226708,61362328796,OUTBOUND
55683886875,10/02/2023 15:03,82,61288555349,64473827946,OUTBOUND
55683886879,10/02/2023 15:07,89,61389330262,61288555347,INBOUND
55683886885,10/02/2023 15:11,15,61385928841,64693458506,OUTBOUND
55683886891,10/02/2023 15:11,73,61837003397,61288555350,INBOUND
55683886899,10/02/2023 15:12,197,61899226706,64318910380,OUTBOUND
55683886907,10/02/2023 15:15,206,64473827946,61395554324,INBOUND
55683886911,10/02/2023 15:17,94,61369584967,61899226708,INBOUND
55683886916,10/02/2023 15:21,176,61829772228,61899226708,INBOUND
55683886925,10/02/2023 15:24,130,61385928841,61473674041,OUTBOUND
55683886935,10/02/2023 15:27,97,64473827946,61899226708,INBOUND
55683886945,10/02/2023 15:31,60,61899226707,61737891089,OUTBOUND
55683886948,10/02/2023 15:32,199,61844166038,61385928840,INBOUND
55683886958,10/02/2023 15:35,46,64334353011,61395554322,INBOUND
55683886967,10/02/2023 15:38,5,61899226706,64420885360,OUTBOUND
55683886970,10/02/2023 15:39,123,61288555349,61727920404,OUTBOUND
55683886972,10/02/2023 15:43,89,61288555347,61234883150,OUTBOUND
55683886977,10/02/2023 15:43,210,61385928841,61781330743,OUTBOUND
55683886983,10/02/2023 15:45,202,61899226707,64394428715,OUTBOUND
55683886992,10/02/2023 15:49,140,61288555347,64733778708,OUTBOUND
55683887002,10/02/2023 15:53,56,61899226709,61354664573,OUTBOUND
55683887005,10/02/2023 15:54,114,61385928844,64719838623,OUTBOUND
55683887013,10/02/2023 15:56,59,61749992409,61288555350,INBOUND
55683887020,10/02/2023 15:57,128,61395554324,61294596750,OUTBOUND
55683887025,10/02/2023 15:58,3,61288555350,61734213992,OUTBOUND
55683887034,10/02/2023 16:02,30,61385928843,61450237674,OUTBOUND
55683887043,10/02/2023 16:06,96,61395554321,61801855142,OUTBOUND
55683887050,10/02/2023 16:07,4,61850519538,61899226707,INBOUND
55683887058,10/02/2023 16:11,41,61395554324,61371985239,OUTBOUND
55683887062,10/02/2023 16:12,22,61288555348,61752777043,OUTBOUND
55683887071,10/02/2023 16:13,130,61385928844,61734213992,OUTBOUND
55683887075,10/02/2023 16:17,168,61899226709,64617181278,OUTBOUND
55683887085,10/02/2023 16:18,108,61288555348,64647860900,OUTBOUND
55683887088,10/02/2023 16:20,30,61385928844,61766549340,OUTBOUND
55683887092,10/02/2023 16:23,96,61385928840,61775392155,OUTBOUND
55683887096,10/02/2023 16:23,167,61899226707,61765581442,OUTBOUND
55683887104,10/02/2023 16:23,92,61395554324,61750869243,OUTBOUND
55683887113,10/02/2023 16:24,5,61385928843,61323632140,OUTBOUND
55683887119,10/02/2023 16:28,157,61288555347,61354664573,OUTBOUND
55683887127,10/02/2023 16:30,157,61385928843,64550858527,OUTBOUND
55683887136,10/02/2023 16:34,130,64812494785,61288555346,INBOUND
55683887140,10/02/2023 16:34,144,61385928844,64334353011,OUTBOUND
55683887148,10/02/2023 16:37,126,61395554321,61370334607,OUTBOUND
55683887152,10/02/2023 16:38,171,61395554324,61849891402,OUTBOUND
55683887160,10/02/2023 16:42,176,61385928844,61872055002,OUTBOUND
55683887168,10/02/2023 16:45,10,61395554322,61874736038,OUTBOUND
55683887177,10/02/2023 16:48,83,61288555349,61254377177,OUTBOUND
55683887181,10/02/2023 16:52,139,61899226706,64551524605,OUTBOUND
55683887183,10/02/2023 16:55,189,61288555350,61877238637,OUTBOUND
55683887188,10/02/2023 16:58,30,61395554324,61389330262,OUTBOUND
55683887193,10/02/2023 17:00,88,64570751142,61385928840,INBOUND
55683887196,10/02/2023 17:02,85,61899226707,61234343241,OUTBOUND
55683887203,10/02/2023 17:05,114,61899226707,61785344524,OUTBOUND
55683887209,10/02/2023 17:08,201,61288555348,61319980611,OUTBOUND
55683887218,10/02/2023 17:09,110,61288555350,61264174265,OUTBOUND
55683887225,10/02/2023 17:10,110,61288555348,64767816824,OUTBOUND
55683887233,10/02/2023 17:14,73,61395554324,64342540456,OUTBOUND
55683887243,10/02/2023 17:15,204,61352352579,61288555347,INBOUND
55683887251,10/02/2023 17:18,20,61395554324,61797189965,OUTBOUND
55683887261,10/02/2023 17:22,146,61265059424,61385928841,INBOUND
55683887263,10/02/2023 17:23,150,61385928843,64778678135,OUTBOUND
55683887273,10/02/2023 17:24,88,61798820618,61385928842,INBOUND
55683887282,10/02/2023 17:27,167,61385928843,61274319209,OUTBOUND
55683887286,10/02/2023 17:30,147,61738200585,61395554324,INBOUND
55683887295,10/02/2023 17:34,72,61809654570,61385928840,INBOUND
55683887303,10/02/2023 17:38,32,61899226707,61749042523,OUTBOUND
55683887311,10/02/2023 17:39,95,61288555349,61306874678,OUTBOUND
55683887320,10/02/2023 17:39,106,61288555347,61771509317,OUTBOUND
55683887322,10/02/2023 17:42,125,61332827266,61288555347,INBOUND
55683887332,10/02/2023 17:47,104,61385928843,61362328796,OUTBOUND
55683887334,10/02/2023 17:47,177,61288555346,61380223312,OUTBOUND
55683887343,10/02/2023 17:50,38,61395554321,61851577185,OUTBOUND
55683887348,10/02/2023 17:50,191,61395554323,61765581442,OUTBOUND
55683887354,10/02/2023 17:51,133,61288555346,64475182755,OUTBOUND
55683887360,10/02/2023 17:53,56,61395554323,61772046832,OUTBOUND
55683887363,10/02/2023 17:55,81,61808084220,61288555347,INBOUND
55683887372,10/02/2023 17:57,192,61385928840,64370732102,OUTBOUND
55683887376,10/02/2023 18:02,105,61899226709,61436769117,OUTBOUND
55683887380,10/02/2023 18:03,150,61899226708,64773554393,OUTBOUND
55683887389,10/02/2023 18:06,95,61395554320,61802901147,OUTBOUND
55683887397,10/02/2023 18:11,76,61899226708,64771770747,OUTBOUND
55683887405,10/02/2023 18:12,167,61899226709,61342131036,OUTBOUND
55683887410,10/02/2023 18:12,189,61288555347,64444747865,OUTBOUND
55683887414,10/02/2023 18:14,157,61899226709,64582028630,OUTBOUND
55683887417,10/02/2023 18:17,44,61288555349,61432429400,OUTBOUND
55683887420,10/02/2023 18:18,99,61435735429,61385928844,INBOUND
55683887424,10/02/2023 18:22,190,61385928843,61432429400,OUTBOUND
55683887434,10/02/2023 18:24,7,61385928843,64403331085,OUTBOUND
55683887441,10/02/2023 18:28,190,61395554320,61363296200,OUTBOUND
55683887447,10/02/2023 18:31,17,61288555346,64359883917,OUTBOUND
55683887456,10/02/2023 18:35,163,61385928843,61383305196,OUTBOUND
55683887458,10/02/2023 18:38,36,61395554324,61273637874,OUTBOUND
55683887464,10/02/2023 18:43,80,61395554321,61803567779,OUTBOUND
55683887466,10/02/2023 18:47,4,61749992409,61395554321,INBOUND
55683887475,10/02/2023 18:49,181,61765581442,61385928843,INBOUND
55683887477,10/02/2023 18:51,116,61385928843,64688061616,OUTBOUND
55683887484,10/02/2023 18:54,194,61395554321,61425700951,OUTBOUND
55683887486,10/02/2023 18:54,148,61899226709,61755841651,OUTBOUND
55683887496,10/02/2023 18:57,79,61899226708,64526581680,OUTBOUND
55683887503,10/02/2023 19:00,128,61395554323,61806897336,OUTBOUND
55683887508,10/02/2023 19:03,57,61288555350,64617181278,OUTBOUND
55683887516,10/02/2023 19:06,106,61395554324,64733778708,OUTBOUND
55683887518,10/02/2023 19:10,44,61395554322,61837003397,OUTBOUND
55683887522,10/02/2023 19:13,131,61899226708,61829772228,OUTBOUND
55683887524,10/02/2023 19:13,206,61899226707,64586186580,OUTBOUND
55683887527,10/02/2023 19:14,28,61395554322,64813613343,OUTBOUND
55683887535,10/02/2023 19:17,176,64354889403,61395554320,INBOUND
55683887537,10/02/2023 19:20,32,61288555347,64545477777,OUTBOUND
55683887540,10/02/2023 19:22,207,61899226708,64535979360,OUTBOUND
55683887546,10/02/2023 19:23,169,61385928844,64359883917,OUTBOUND
55683887551,10/02/2023 19:27,203,61395554322,64321286595,OUTBOUND
55683887561,10/02/2023 19:32,117,61288555346,61865712772,OUTBOUND
55683887565,10/02/2023 19:36,128,61369584967,61288555348,INBOUND
55683887570,10/02/2023 19:38,135,61781330743,61385928842,INBOUND
55683887576,10/02/2023 19:40,6,61288555346,61857834208,OUTBOUND
55683887585,10/02/2023 19:41,23,61385928841,64386906022,OUTBOUND
55683887587,10/02/2023 19:41,38,61899226709,61878700323,OUTBOUND
55683887592,10/02/2023 19:44,30,61395554320,64767816824,OUTBOUND
55683887595,10/02/2023 19:48,166,61288555346,61755584283,OUTBOUND
55683887601,10/02/2023 19:51,31,61899226710,61432429400,OUTBOUND
55683887605,10/02/2023 19:51,54,61395554320,64517849554,OUTBOUND
55683887609,10/02/2023 19:56,106,61395554324,64475182755,OUTBOUND
55683887613,10/02/2023 19:59,42,61288555346,61803567779,OUTBOUND
55683887623,10/02/2023 20:00,5,61899226709,64733778708,OUTBOUND
55683887633,10/02/2023 20:03,192,61417041318,61288555346,INBOUND
55683887639,10/02/2023 20:06,145,61385928842,64591986758,OUTBOUND
55683887645,10/02/2023 20:08,21,61899226708,61281352930,OUTBOUND
55683887649,10/02/2023 20:10,61,61899226709,64426565948,OUTBOUND
55683887653,10/02/2023 20:10,61,61899226710,64701109505,OUTBOUND
55683887662,10/02/2023 20:15,65,61395554322,64551524605,OUTBOUND
55683887665,10/02/2023 20:19,85,64444747865,61899226709,INBOUND
55683887669,10/02/2023 20:19,74,61288555350,64394428715,OUTBOUND
55683887674,10/02/2023 20:24,116,61385928844,64354889403,OUTBOUND
55683887683,10/02/2023 20:26,201,61288555349,61370334607,OUTBOUND
55683887686,10/02/2023 20:28,93,61288555350,61749321367,OUTBOUND
55683887693,10/02/2023 20:28,198,61288555347,61428824625,OUTBOUND
55683887702,10/02/2023 20:33,123,61385928841,61241628792,OUTBOUND
55683887709,10/02/2023 20:38,18,61395554321,64715008850,OUTBOUND
55683887711,10/02/2023 20:42,95,64855981662,61899226708,INBOUND
55683887721,10/02/2023 20:47,196,61899226706,61323632140,OUTBOUND
55683887725,10/02/2023 20:49,134,61385928840,64545477777,OUTBOUND
55683887729,10/02/2023 20:53,124,61395554322,61332465377,OUTBOUND
55683887731,10/02/2023 20:57,59,61385928842,61755584283,OUTBOUND
55683887741,10/02/2023 21:00,129,61288555348,61732099448,OUTBOUND
55683887743,10/02/2023 21:02,29,61288555350,61425700951,OUTBOUND
55683887752,10/02/2023 21:03,68,61288555347,64508787348,OUTBOUND
55683887759,10/02/2023 21:03,94,61899226709,61347702085,OUTBOUND
